消費年月,縣市名稱,產業類別,交易筆數,交易金額,客單價
2020年8月,臺北市,食,8733141,7276230790,833.17
2020年8月,臺北市,衣,482869,1298815817,2689.79
2020年8月,臺北市,住,688128,3022547454,4392.42
2020年8月,臺北市,行,3188326,2139570548,671.06
2020年8月,臺北市,文教康樂,2676356,5420826211,2025.45
2020年8月,臺北市,百貨,1975428,4976515635,2519.21
2020年8月,臺北市,其他,7185064,19782327714,2753.26
2020年8月,新北市,食,9202190,7188449631,781.17
2020年8月,新北市,衣,568037,1236472313,2176.75
2020年8月,新北市,住,791825,2737813009,3457.6
2020年8月,新北市,行,3819093,2647123976,693.13
2020年8月,新北市,文教康樂,3089001,5371475260,1738.9
2020年8月,新北市,百貨,2108138,4710320250,2234.35
2020年8月,新北市,其他,9015405,20539520866,2278.27
2020年8月,桃園市,食,3854790,3351850924,869.53
2020年8月,桃園市,衣,225231,518001715,2299.87
2020年8月,桃園市,住,377450,1275882457,3380.27
2020年8月,桃園市,行,1915549,1472709327,768.82
2020年8月,桃園市,文教康樂,1341062,2189367313,1632.56
2020年8月,桃園市,百貨,977831,2217167178,2267.43
2020年8月,桃園市,其他,3864537,9002243249,2329.45
2020年8月,新竹縣,食,1109520,941977010,849.0
2020年8月,新竹縣,衣,59924,136565597,2278.98
2020年8月,新竹縣,住,111338,408142507,3665.8
2020年8月,新竹縣,行,539836,412355441,763.85
2020年8月,新竹縣,文教康樂,347445,601398438,1730.92
2020年8月,新竹縣,百貨,255227,585155570,2292.69
2020年8月,新竹縣,其他,1069023,2433367130,2276.25
2020年8月,新竹市,食,1194855,962978943,805.94
2020年8月,新竹市,衣,55612,132597535,2384.33
2020年8月,新竹市,住,109359,397865055,3638.16
2020年8月,新竹市,行,498168,346059391,694.66
2020年8月,新竹市,文教康樂,345556,612223446,1771.71
2020年8月,新竹市,百貨,277626,645191545,2323.96
2020年8月,新竹市,其他,1012478,2478987498,2448.44
2020年8月,苗栗縣,食,524376,469727450,895.78
2020年8月,苗栗縣,衣,39322,90197879,2293.83
2020年8月,苗栗縣,住,61232,210263050,3433.88
2020年8月,苗栗縣,行,396664,293234764,739.25
2020年8月,苗栗縣,文教康樂,208653,324526026,1555.34
2020年8月,苗栗縣,百貨,136414,330790124,2424.9
2020年8月,苗栗縣,其他,644216,1435202483,2227.83
2020年8月,臺中市,食,4880449,4293166080,879.67
2020年8月,臺中市,衣,319629,741484192,2319.83
2020年8月,臺中市,住,503026,1744270598,3467.56
2020年8月,臺中市,行,2552348,1961734913,768.6
2020年8月,臺中市,文教康樂,1635165,3344242753,2045.2
2020年8月,臺中市,百貨,1149046,2815618583,2450.4
2020年8月,臺中市,其他,4327109,11902888307,2750.77
2020年8月,彰化縣,食,1048977,950856589,906.46
2020年8月,彰化縣,衣,99907,234507071,2347.25
2020年8月,彰化縣,住,126764,437869478,3454.21
2020年8月,彰化縣,行,813037,644791718,793.07
2020年8月,彰化縣,文教康樂,412289,759883833,1843.09
2020年8月,彰化縣,百貨,254416,603530625,2372.22
2020年8月,彰化縣,其他,1182752,3188905239,2696.17
2020年8月,南投縣,食,346781,308179905,888.69
2020年8月,南投縣,衣,31690,67006633,2114.44
2020年8月,南投縣,住,42812,145113211,3389.55
2020年8月,南投縣,行,274800,213362874,776.43
2020年8月,南投縣,文教康樂,143778,241354151,1678.66
2020年8月,南投縣,百貨,86034,196340984,2282.13
2020年8月,南投縣,其他,406829,1010484639,2483.81
2020年8月,雲林縣,食,415606,395095244,950.65
2020年8月,雲林縣,衣,40197,87801004,2184.27
2020年8月,雲林縣,住,51642,178181343,3450.32
2020年8月,雲林縣,行,375455,292003287,777.73
2020年8月,雲林縣,文教康樂,178394,309244725,1733.49
2020年8月,雲林縣,百貨,99010,234032766,2363.73
2020年8月,雲林縣,其他,474333,1272689956,2683.11
2020年8月,嘉義縣,食,316021,299541710,947.85
2020年8月,嘉義縣,衣,26301,60079910,2284.32
2020年8月,嘉義縣,住,35959,121109058,3367.98
